year,title,status,publicationType,doi,url,link_source
2018,Comparative genomic survey of Bacillus cereus sensu stricto isolates from the dairy production chain in Brazil FEMS Microbiology Letters 365(3); doi: 10.1093/femsle/fnx283,published,journal,10.1093/femsle/fnx283,,DOI
2018,A pathogen in plain sight: disease-causing genotypes of the commensal skin bacterium Staphylococcus epidermidis,published,journal,10.1038/s41467-018-07368-7,,DOI
2018,A GWAS on Helicobacter pylori strains points to genetic variants associated with gastric cancer risk,published,journal,10.1186/s12915-018-0550-3,,DOI
2017,Recombination-mediated host-adaptation by avian Staphylococcus aureus,published,journal,10.1093/gbe/evx037,,DOI
2017,Phenotypic and genotypic characterisation of Staphylococcus epidermidis from orthopaedic device-related infections correlated with patient outcome Orthopaedic Proceedings 99-B (22): 65,published,journal,,http://bjjprocs.boneandjoint.org.uk/content/99-B/SUPP_22/65,stable URL
2017,Local genes for local bacteria: evidence of allopatry in the genomes of transatlantic Campylobacter populations Molecular Ecology 26 (17): 4497-4508; DOI: 10.1111/mec.14176 [PeerJ preprint doi: 10.7287/peerj.preprints.2638v1],published,journal,10.1111/mec.14176,,DOI
2017,Genomic structure and insertion sites of Helicobacter pylori prophages from various geographical origins Scientific Reports 7:42471; DOI: 10.1038/srep42471,published,journal,10.1038/srep42471,,DOI
2017,Genome-wide identification of host-segregating epidemiological markers for source attribution in Campylobacter jejuni AEM 83 (7): e03085-16; doi: 10.1128/AEM.03085-16,published,journal,10.1128/AEM.03085-16,,DOI
2017,Genome comparison of erythromycin resistant Campylobacter from turkey identifies hosts and pathways for horizontal spread of erm(B) genes Frontiers in Microbiology 8: 2240; DOI: 10.3389/fmicb.2017.02240,published,journal,10.3389/fmicb.2017.02240,,DOI
2017,A comparative genomics study of Staphylococcus epidermidis from orthopedic device-related infections correlated with patient outcome Journal of Clinical Microbiology 55 (10): 3089-3103; (doi:10.1128/JCM.00881-17),published,journal,10.1128/JCM.00881-17,,DOI
2016,Rapid host switching in generalist Campylobacter strains erodes the signal for tracing human infections. The ISME Journal 10 (3): 721-9 [arXiv:1504.01607],published,journal,10.1038/ismej.2015.149,,DOI
2016,Livestock-associated Staphylococcus aureus ST9 isolates from Chinese pigs carry the lsa(E) gene and are quinupristin/ dalfopristin resistant IJMM doi:10.1016/j.ijmm.2016.08.001,published,journal,10.1016/j.ijmm.2016.08.001,,DOI
2016,Genome-wide association of functional traits linked with Campylobacter jejuni survival from farm to fork,published,journal,10.1111/1462-2920.13628,,DOI
2016,Genetic and chemical differentiation of Campylobacter coli and Campylobacter jejuni lipooligosaccharide pathways JBact doi: 10.1128/JB.00347-16 [Bioarxiv: dx.doi.org/10.1101/050328],published,journal,10.1128/JB.00347-16,,DOI
2016,From Escherich to the Escherichia coli genome: how a commensal bacterium shaped the history of modern microbiology,published,journal,10.1016/S1473-3099(16)30066-4,,DOI
2016,Draft Genome Sequence of an Enterobacter Species Associated with Illnesses and Powdered Infant Formula,published,journal,10.1128/genomeA.01479-15,,DOI
2016,"Combined analysis of variation in core, accessory and regulatory genome regions provides a super-resolution view into the evolution of bacterial populations",published,journal,10.1371/journal.pgen.1006280,,DOI
2016,Biofilm morphotypes and population structure among Staphylococcus epidermidis from commensal and clinical samples,published,journal,10.1371/journal.pone.0151240,,DOI
2016,Bayesian identification of bacterial strains from sequencing data,published,journal,10.1099/mgen.0.000075,,DOI
2015,Persistent Staphylococcus aureus isolates from two independent bacteraemia display increased bacterial fitness and novel immune evasion phenotypes. Infection and Immunity 83 (8): 3311-24,published,journal,10.1128/IAI.00255-15,,DOI
2015,Evidence of land-sea transfer of the zoonotic pathogen Campylobacter to a wildlife marine sentinel species. Molecular Ecology 24 (1): 208-21,published,journal,10.1111/mec.13001,,DOI
2015,Enhanced biofilm formation and multi-host transmission evolve from divergent genetic backgrounds in Campylobacter jejuni,published,journal,10.1111/1462-2920.13051,,DOI
2015,Ecological overlap and horizontal gene transfer in Staphylococcus aureus and Staphylococcus epidermidis,published,journal,10.1093/gbe/evv066,,DOI
2014,Dormant cells of Staphylococcus aureus are resuscitated by spent culture supernatant,published,journal,10.1371/journal.pone.0085998,,DOI
2014,A Reference Pan-Genome Approach to Comparative Bacterial Genomics: Identification of Novel Epidemiological Markers in Pathogenic Campylobacter,published,journal,10.1371/journal.pone.0092798,,DOI
2012,Progressive genome-wide introgression in agricultural Campylobacter coli Molecular Ecology,published,journal,10.1111/mec.12162,,DOI
2011,Mechanisms of Staphylococcus epidermidis biofilm formation in different types of biomaterial-related infections,published,journal,,https://researchportal.bath.ac.uk/en/publications/mechanisms-of-staphylococcus-epidermidis-biofilm-formation-in-dif,stable URL
2010,The Zinc-responsive Regulator Zur Controls Expression of the Coelibactin Gene Cluster in Streptomyces coelicolor,published,journal,10.1128/JB.01022-09,,DOI
2007,Zinc-responsive regulation of alternative ribosomal protein genes in Streptomyces coelicolor involves Zur and σR,published,journal,10.1128/JB.01901-06,,DOI
